generic_name,GEO_ID,myCount
LISINOPRIL,0500000US45073,437
LISINOPRIL,0500000US53075,220
LISINOPRIL,0500000US37013,513
LISINOPRIL,0500000US53025,519
LISINOPRIL,0500000US19187,250
LISINOPRIL,0500000US54081,604
LISINOPRIL,0500000US06105,65
LISINOPRIL,0500000US41005,2183
LISINOPRIL,0500000US37129,1780
LISINOPRIL,0500000US55089,552
LISINOPRIL,0500000US36005,7909
LISINOPRIL,0500000US17099,444
LISINOPRIL,0500000US08067,424
LISINOPRIL,0500000US08045,318
LISINOPRIL,0500000US72005,360
LISINOPRIL,0500000US27037,1418
LISINOPRIL,0500000US21145,702
LISINOPRIL,0500000US42017,3394
LISINOPRIL,0500000US34013,3350
LISINOPRIL,0500000US01117,659
LISINOPRIL,0500000US51690,224
LISINOPRIL,0500000US12071,3658
LISINOPRIL,0500000US18141,1656
LISINOPRIL,0500000US27141,208
LISINOPRIL,0500000US47059,403
LISINOPRIL,0500000US24510,6341
LISINOPRIL,0500000US26081,4774
LISINOPRIL,0500000US42019,956
LISINOPRIL,0500000US41067,3164
LISINOPRIL,0500000US30021,80
LISINOPRIL,0500000US09001,4974
LISINOPRIL,0500000US12115,2781
LISINOPRIL,0500000US26137,189
LISINOPRIL,0500000US04027,795
LISINOPRIL,0500000US41029,1970
LISINOPRIL,0500000US25027,5933
LISINOPRIL,0500000US72125,210
LISINOPRIL,0500000US34015,1312
LISINOPRIL,0500000US56037,196
LISINOPRIL,0500000US42011,2063
LISINOPRIL,0500000US18003,2329
LISINOPRIL,0500000US25013,3350
LISINOPRIL,0500000US17007,351
LISINOPRIL,0500000US22077,86
LISINOPRIL,0500000US25001,1517
LISINOPRIL,0500000US06053,1904
LISINOPRIL,0500000US25015,980
LISINOPRIL,0500000US20091,3082
LISINOPRIL,0500000US72045,61
LISINOPRIL,0500000US29095,3949
LISINOPRIL,0500000US39093,1175
LISINOPRIL,0500000US17029,351
LISINOPRIL,0500000US34009,510
LISINOPRIL,0500000US47067,75
LISINOPRIL,0500000US47073,357
LISINOPRIL,0500000US47025,235
LISINOPRIL,0500000US01101,1262
LISINOPRIL,0500000US72013,633
LISINOPRIL,0500000US47165,928
LISINOPRIL,0500000US47063,366
LISINOPRIL,0500000US28033,634
LISINOPRIL,0500000US54079,296
LISINOPRIL,0500000US42091,5924
LISINOPRIL,0500000US26121,1239
LISINOPRIL,0500000US51683,260
LISINOPRIL,0500000US22055,1506
LISINOPRIL,0500000US27057,174
LISINOPRIL,0500000US41071,685
LISINOPRIL,0500000US42127,191
LISINOPRIL,0500000US29161,385
LISINOPRIL,0500000US48091,746
LISINOPRIL,0500000US17111,1138
LISINOPRIL,0500000US17097,2990
LISINOPRIL,0500000US56021,507
LISINOPRIL,0500000US06055,827
LISINOPRIL,0500000US78030,172
LISINOPRIL,0500000US30017,99
LISINOPRIL,0500000US35043,437
LISINOPRIL,0500000US13059,902
LISINOPRIL,0500000US47049,120
LISINOPRIL,0500000US40141,27
LISINOPRIL,0500000US72035,244
LISINOPRIL,0500000US04025,1418
LISINOPRIL,0500000US13215,1191
LISINOPRIL,0500000US42079,1758
LISINOPRIL,0500000US34027,2561
LISINOPRIL,0500000US12113,568
LISINOPRIL,0500000US55111,327
LISINOPRIL,0500000US35045,701
LISINOPRIL,0500000US13219,471
LISINOPRIL,0500000US17167,1782
LISINOPRIL,0500000US39109,460
LISINOPRIL,0500000US09005,651
LISINOPRIL,0500000US06109,341
LISINOPRIL,0500000US01089,2100
LISINOPRIL,0500000US42089,695
LISINOPRIL,0500000US48005,502
LISINOPRIL,0500000US45063,1261
LISINOPRIL,0500000US13245,1964
LISINOPRIL,0500000US26145,1599
LISINOPRIL,0500000US39061,6201
LISINOPRIL,0500000US04003,647
LISINOPRIL,0500000US39057,1040
LISINOPRIL,0500000US48029,8189
LISINOPRIL,0500000US51085,521
LISINOPRIL,0500000US35013,1146
LISINOPRIL,0500000US37097,1039
LISINOPRIL,0500000US17023,61
LISINOPRIL,0500000US06087,1372
LISINOPRIL,0500000US72017,109
LISINOPRIL,0500000US05143,1237
LISINOPRIL,0500000US42041,1671
LISINOPRIL,0500000US47101,63
LISINOPRIL,0500000US37071,1162
LISINOPRIL,0500000US49035,4849
LISINOPRIL,0500000US11001,4879
LISINOPRIL,0500000US13115,930
LISINOPRIL,0500000US01127,328
LISINOPRIL,0500000US13127,440
LISINOPRIL,0500000US22033,2830
LISINOPRIL,0500000US15003,4278
LISINOPRIL,0500000US39051,147
LISINOPRIL,0500000US17163,1253
LISINOPRIL,0500000US28111,55
LISINOPRIL,0500000US28131,77
LISINOPRIL,0500000US29029,190
LISINOPRIL,0500000US15001,895
LISINOPRIL,0500000US39003,832
LISINOPRIL,0500000US38015,791
LISINOPRIL,0500000US51710,1766
LISINOPRIL,0500000US37025,1621
LISINOPRIL,0500000US31157,232
LISINOPRIL,0500000US39099,1566
LISINOPRIL,0500000US51510,511
LISINOPRIL,0500000US27159,125
LISINOPRIL,0500000US37035,1113
LISINOPRIL,0500000US26077,2033
LISINOPRIL,0500000US18091,549
LISINOPRIL,0500000US12009,3196
LISINOPRIL,0500000US48001,247
LISINOPRIL,0500000US55105,775
LISINOPRIL,0500000US72091,335
LISINOPRIL,0500000US21221,63
LISINOPRIL,0500000US28123,148
LISINOPRIL,0500000US17143,1655
LISINOPRIL,0500000US24027,1153
LISINOPRIL,0500000US37151,621
LISINOPRIL,0500000US19153,2972
LISINOPRIL,0500000US40081,100
LISINOPRIL,0500000US40125,316
LISINOPRIL,0500000US42033,548
LISINOPRIL,0500000US29225,206
LISINOPRIL,0500000US42095,1415
LISINOPRIL,0500000US40065,107
LISINOPRIL,0500000US25009,4776
LISINOPRIL,0500000US46005,135
LISINOPRIL,0500000US51630,548
LISINOPRIL,0500000US06039,525
LISINOPRIL,0500000US72021,1218
LISINOPRIL,0500000US48303,1914
LISINOPRIL,0500000US12065,29
LISINOPRIL,0500000US44005,307
LISINOPRIL,0500000US23019,1643
LISINOPRIL,0500000US54013,48
LISINOPRIL,0500000US41051,6885
LISINOPRIL,0500000US21111,5854
LISINOPRIL,0500000US24005,5380
LISINOPRIL,0500000US12063,246
LISINOPRIL,0500000US30011,29
LISINOPRIL,0500000US21117,1130
LISINOPRIL,0500000US16027,818
LISINOPRIL,0500000US13135,2875
LISINOPRIL,0500000US06041,1210
LISINOPRIL,0500000US16055,1025
LISINOPRIL,0500000US51059,4045
LISINOPRIL,0500000US49053,726
LISINOPRIL,0500000US18159,165
LISINOPRIL,0500000US04015,1035
LISINOPRIL,0500000US36119,5180
LISINOPRIL,0500000US42063,321
LISINOPRIL,0500000US18163,1355
LISINOPRIL,0500000US26139,1152
LISINOPRIL,0500000US17177,232
LISINOPRIL,0500000US29023,389
LISINOPRIL,0500000US18173,441
LISINOPRIL,0500000US72149,51
LISINOPRIL,0500000US23003,579
LISINOPRIL,0500000US21193,517
LISINOPRIL,0500000US34031,1963
LISINOPRIL,0500000US37101,687
LISINOPRIL,0500000US27163,1310
LISINOPRIL,0500000US37105,345
LISINOPRIL,0500000US18035,807
LISINOPRIL,0500000US53005,1190
LISINOPRIL,0500000US18157,852
LISINOPRIL,0500000US39169,465
LISINOPRIL,0500000US13097,442
LISINOPRIL,0500000US01047,215
LISINOPRIL,0500000US72127,2831
LISINOPRIL,0500000US37159,565
LISINOPRIL,0500000US37119,6026
LISINOPRIL,0500000US51013,751
LISINOPRIL,0500000US21009,317
LISINOPRIL,0500000US35049,1080
LISINOPRIL,0500000US39041,1062
LISINOPRIL,0500000US22083,196
LISINOPRIL,0500000US04005,807
LISINOPRIL,0500000US06097,2743
LISINOPRIL,0500000US08041,2943
LISINOPRIL,0500000US39045,786
LISINOPRIL,0500000US51087,1672
LISINOPRIL,0500000US36107,212
LISINOPRIL,0500000US53011,2480
LISINOPRIL,0500000US13089,3238
LISINOPRIL,0500000US29185,34
LISINOPRIL,0500000US29015,139
LISINOPRIL,0500000US48451,707
LISINOPRIL,0500000US17077,534
LISINOPRIL,0500000US17199,582
LISINOPRIL,0500000US16079,62
LISINOPRIL,0500000US48209,618
LISINOPRIL,0500000US37127,521
LISINOPRIL,0500000US28047,951
LISINOPRIL,0500000US37023,754
LISINOPRIL,0500000US17045,94
LISINOPRIL,0500000US55101,737
LISINOPRIL,0500000US28007,117
LISINOPRIL,0500000US27055,68
LISINOPRIL,0500000US55141,684
LISINOPRIL,0500000US55097,396
LISINOPRIL,0500000US55001,89
LISINOPRIL,0500000US29087,23
LISINOPRIL,0500000US06009,133
LISINOPRIL,0500000US53077,1518
LISINOPRIL,0500000US53007,778
LISINOPRIL,0500000US22071,2095
LISINOPRIL,0500000US12019,895
LISINOPRIL,0500000US54049,224
LISINOPRIL,0500000US16041,38
LISINOPRIL,0500000US40027,1026
LISINOPRIL,0500000US24041,306
LISINOPRIL,0500000US54095,46
LISINOPRIL,0500000US42081,868
LISINOPRIL,0500000US36027,1410
LISINOPRIL,0500000US22119,204
LISINOPRIL,0500000US34019,756
LISINOPRIL,0500000US42071,3360
LISINOPRIL,0500000US27049,245
LISINOPRIL,0500000US48487,67
LISINOPRIL,0500000US20125,212
LISINOPRIL,0500000US48187,423
LISINOPRIL,0500000US39149,225
LISINOPRIL,0500000US21151,386
LISINOPRIL,0500000US19033,556
LISINOPRIL,0500000US30063,830
LISINOPRIL,0500000US23011,1062
LISINOPRIL,0500000US42121,315
LISINOPRIL,0500000US42061,202
LISINOPRIL,0500000US34041,508
LISINOPRIL,0500000US09015,525
LISINOPRIL,0500000US18011,412
LISINOPRIL,0500000US54069,600
LISINOPRIL,0500000US47077,151
LISINOPRIL,0500000US16083,532
LISINOPRIL,0500000US17183,373
LISINOPRIL,0500000US37055,174
LISINOPRIL,0500000US42027,848
LISINOPRIL,0500000US55059,684
LISINOPRIL,0500000US55139,1055
LISINOPRIL,0500000US55039,679
LISINOPRIL,0500000US21067,3137
LISINOPRIL,0500000US13051,1362
LISINOPRIL,0500000US12029,43
LISINOPRIL,0500000US46093,394
LISINOPRIL,0500000US01043,405
LISINOPRIL,0500000US37163,262
LISINOPRIL,0500000US55123,217
LISINOPRIL,0500000US55023,150
LISINOPRIL,0500000US18183,148
LISINOPRIL,0500000US12033,1974
LISINOPRIL,0500000US36065,1607
LISINOPRIL,0500000US39133,523
LISINOPRIL,0500000US72063,147
LISINOPRIL,0500000US48503,95
LISINOPRIL,0500000US48009,39
LISINOPRIL,0500000US48447,18
LISINOPRIL,0500000US29007,158
LISINOPRIL,0500000US37099,211
LISINOPRIL,0500000US51775,398
LISINOPRIL,0500000US51041,1541
LISINOPRIL,0500000US17193,49
LISINOPRIL,0500000US48203,245
LISINOPRIL,0500000US06081,2931
LISINOPRIL,0500000US26017,653
LISINOPRIL,0500000US26119,61
LISINOPRIL,0500000US46099,1322
LISINOPRIL,0500000US29037,244
LISINOPRIL,0500000US17113,618
LISINOPRIL,0500000US20145,51
LISINOPRIL,0500000US19197,85
LISINOPRIL,0500000US51165,434
LISINOPRIL,0500000US45011,45
LISINOPRIL,0500000US46041,62
LISINOPRIL,0500000US26003,163
LISINOPRIL,0500000US48085,3636
LISINOPRIL,0500000US40129,16
LISINOPRIL,0500000US24033,3006
LISINOPRIL,0500000US54019,290
LISINOPRIL,0500000US53073,1406
LISINOPRIL,0500000US20169,449
LISINOPRIL,0500000US12053,1052
LISINOPRIL,0500000US12081,1910
LISINOPRIL,0500000US23009,459
LISINOPRIL,0500000US08081,86
LISINOPRIL,0500000US45077,475
LISINOPRIL,0500000US42055,942
LISINOPRIL,0500000US06017,674
LISINOPRIL,0500000US26143,160
LISINOPRIL,0500000US01025,116
LISINOPRIL,0500000US01131,43
LISINOPRIL,0500000US01091,85
LISINOPRIL,0500000US45079,2590
LISINOPRIL,0500000US18083,276
LISINOPRIL,0500000US47167,225
LISINOPRIL,0500000US55085,338
LISINOPRIL,0500000US31135,60
LISINOPRIL,0500000US47061,88
LISINOPRIL,0500000US72097,560
LISINOPRIL,0500000US34007,3590
LISINOPRIL,0500000US42069,1530
LISINOPRIL,0500000US37169,249
LISINOPRIL,0500000US54039,1730
LISINOPRIL,0500000US21125,522
LISINOPRIL,0500000US08069,1962
LISINOPRIL,0500000US01021,108
LISINOPRIL,0500000US28089,516
LISINOPRIL,0500000US37111,237
LISINOPRIL,0500000US37027,416
LISINOPRIL,0500000US51840,901
LISINOPRIL,0500000US42013,905
LISINOPRIL,0500000US37135,1806
LISINOPRIL,0500000US24043,823
LISINOPRIL,0500000US29033,61
LISINOPRIL,0500000US18027,163
LISINOPRIL,0500000US28049,2373
LISINOPRIL,0500000US55137,152
LISINOPRIL,0500000US54005,146
LISINOPRIL,0500000US51820,55
LISINOPRIL,0500000US29163,83
LISINOPRIL,0500000US17081,258
LISINOPRIL,0500000US34039,2220
LISINOPRIL,0500000US02050,106
LISINOPRIL,0500000US31153,412
LISINOPRIL,0500000US30111,1348
LISINOPRIL,0500000US30003,268
LISINOPRIL,0500000US72137,206
LISINOPRIL,0500000US16011,240
LISINOPRIL,0500000US47023,99
LISINOPRIL,0500000US36007,1347
LISINOPRIL,0500000US18127,833
LISINOPRIL,0500000US13179,162
LISINOPRIL,0500000US27017,292
LISINOPRIL,0500000US72053,227
LISINOPRIL,0500000US24025,881
LISINOPRIL,0500000US36077,589
LISINOPRIL,0500000US50007,1508
LISINOPRIL,0500000US34001,1341
LISINOPRIL,0500000US42107,600
LISINOPRIL,0500000US40067,35
LISINOPRIL,0500000US28075,670
LISINOPRIL,0500000US19151,27
LISINOPRIL,0500000US51047,308
LISINOPRIL,0500000US45091,718
LISINOPRIL,0500000US28157,45
LISINOPRIL,0500000US08013,2219
LISINOPRIL,0500000US08089,115
LISINOPRIL,0500000US06057,589
LISINOPRIL,0500000US40079,202
LISINOPRIL,0500000US32031,2673
LISINOPRIL,0500000US51153,1011
LISINOPRIL,0500000US55025,3986
LISINOPRIL,0500000US36037,286
LISINOPRIL,0500000US17089,2317
LISINOPRIL,0500000US22089,150
LISINOPRIL,0500000US17091,552
LISINOPRIL,0500000US38017,1371
LISINOPRIL,0500000US02020,1831
LISINOPRIL,0500000US05131,1106
LISINOPRIL,0500000US21093,542
LISINOPRIL,0500000US48339,2402
LISINOPRIL,0500000US29145,589
LISINOPRIL,0500000US09007,869
LISINOPRIL,0500000US27115,143
LISINOPRIL,0500000US39119,529
LISINOPRIL,0500000US51173,217
LISINOPRIL,0500000US49057,990
LISINOPRIL,0500000US37147,1982
LISINOPRIL,0500000US48423,1821
LISINOPRIL,0500000US05009,229
LISINOPRIL,0500000US05101,105
LISINOPRIL,0500000US05089,85
LISINOPRIL,0500000US05015,191
LISINOPRIL,0500000US31119,372
LISINOPRIL,0500000US36103,6803
